Date,Name,Amount,Category,SubCategory,PaymentMethod,Notes
2026-01-02,Tesco Supermarket,45.67,Groceries,Weekly Shopping,Debit Card,
2026-01-03,Shell Petrol Station,35.00,Transport,Fuel,Credit Card,Car fuel
2026-01-04,Cinema Tickets,25.00,Entertainment,Movies,Debit Card,Date night
2026-01-05,Netflix Subscription,12.99,Entertainment,Streaming,Direct Debit,Monthly
2026-01-06,Electric Bill,85.00,Utilities,Electricity,Direct Debit,
2026-01-07,Local Pharmacy,18.50,Healthcare,Prescriptions,Debit Card,
2026-01-08,Amazon Purchase,67.89,Shopping,Online,Credit Card,Household items
2026-01-09,Pizza Restaurant,32.00,Dining Out,Restaurants,Debit Card,Family dinner
2026-01-10,Sainsburys,78.23,Groceries,Weekly Shopping,Debit Card,
2026-01-11,Train Ticket,15.75,Transport,Public Transport,Debit Card,Commute
2026-01-12,Spotify Premium,9.99,Entertainment,Streaming,Direct Debit,
2026-01-13,Water Bill,28.50,Utilities,Water,Direct Debit,
2026-01-14,Boots Chemist,12.30,Healthcare,Toiletries,Debit Card,
2026-01-15,Zara Clothing,45.00,Shopping,Clothing,Credit Card,New jacket
2026-01-16,Coffee Shop,8.50,Dining Out,Cafes,Debit Card,Morning coffee
2026-01-17,Aldi Supermarket,52.18,Groceries,Weekly Shopping,Debit Card,
2026-01-18,Uber Ride,22.40,Transport,Ride Share,Credit Card,
2026-01-19,Theatre Tickets,55.00,Entertainment,Live Events,Debit Card,West End show
2026-01-20,Gas Bill,42.00,Utilities,Gas,Direct Debit,
2026-01-21,Dentist Appointment,80.00,Healthcare,Dental,Credit Card,Check-up
2026-01-22,eBay Purchase,23.45,Shopping,Online,PayPal,Used books
2026-01-23,Indian Restaurant,48.00,Dining Out,Restaurants,Debit Card,Takeaway
2026-01-24,Morrisons,63.27,Groceries,Weekly Shopping,Debit Card,
2026-01-25,Bus Pass,65.00,Transport,Public Transport,Debit Card,Monthly pass
2026-01-26,Disney+ Subscription,7.99,Entertainment,Streaming,Direct Debit,
2026-01-27,Council Tax,120.00,Utilities,Council Tax,Direct Debit,
2026-01-28,Vitamins,25.00,Healthcare,Supplements,Debit Card,
2026-01-29,Nike Store,89.99,Shopping,Clothing,Credit Card,Running shoes
2026-01-30,Pub Lunch,28.00,Dining Out,Pubs,Debit Card,With colleagues
